J2 	11320	9357	0	20677	      0.55	      0.45	      0.00
92 	12274	7863	580	20717	      0.59	      0.38	      0.03
52 	14829	5079	556	20464	      0.72	      0.25	      0.03
73 	15373	5187	525	21085	      0.73	      0.25	      0.02
83 	19691	1102	0	20793	      0.95	      0.05	      0.00
62 	20107	1111	0	21218	      0.95	      0.05	      0.00
72 	19457	1075	0	20532	      0.95	      0.05	      0.00
42 	19486	1071	0	20557	      0.95	      0.05	      0.00
82 	20185	1100	0	21285	      0.95	      0.05	      0.00
32 	19879	1048	0	20927	      0.95	      0.05	      0.00
